ESTATUS DE LA INSTALACIÓN;FM;MARCA MEDIDOR;TIPO MED.;AÑO;CORRIENTE;VOLTAJE;KTE;TIPO DE MEDICIÓN;FORMA DE CONEXIÓN;MULTIPLICADOR;REGISTROS;MARCA TCS;MARCA TPS;MARCA TRAFO COMBINADO DE MEDIDA;MARCA TRAFO DSITRIBUCION;TIP. TRAFO;TIPO SELLO;UBICACIÓN;ESTADO;Compensación;Func. Del sist. De medición:
NO DESCONEC. (ACTIVA);1.00;ABB;A1000;2020;1 - 10 A;120 V;46,296;DIRECTO;1F 2C;1.00;Energía activa;ABB;ABB;ABB;ABB;CONVENCIONAL;MIXTO GRIS;BORNERA;BUENO;SI;Aceptable
DESCONEX. INICIADA;1.02;AEM;A1200;2019;2 -10 A;127 V;69,444;INDIRECTO;1F 3C;10.00;Totales A,R y D;AEM (BV);ALCE;ALC ENERGY;AEG;FRENTE MUERTO;MIXTO BLANCO;DEMANDIMETRO;MALO;NO;Fuera de Norma
PACIALM. DESCNECT.;10.0;ELSTER;A1440;2018;2,5 CL20;240 V;92,593;SEMIDIRECTO;2F 3C;;3 Rangos Horarios;ARTECHE;ARTECHE;ARTECHE;ALSTHOM TRANSUNEL;PADMOUNTED;MIXTO VERDE;SOCKET;;;Correcto
DESCONEC. DEFINITIV.;;FAE;AS1440;2017;5 - 20 A;57,7 - 240V;138,889;;3F 4C;;4 Rangos Horarios;CAMSCO;RITZ;CEA Trafomix;ECUATRAN;SECO;MIXTO NARANJA;TCS;;;Dañado
;;GALILEO;A1805R;2016;5 - 80 A;120/240 V;278;;FM 1A;;;CELSA;RS FRANCE;I&T ELECTRIC;EVOLGY;;MIXTO ROJO;TPS;;;
;;GENERAL ELECTR.;A1830RL;2015;5 - 100 A;120 - 480V;350;;FM 5A;;;CHINT;RYMEL;SCHNEIDER;INATRA;;MIXTO AMARILLO;TABLERO;;;
;;HEXING;A1830RAL;2014;5 - 120 A;2x120/208V;360;;FM 10A;;;CIRCUTOR (BV);SIEMENS;;MAGNETRON;;ORIG.DE FAB.;BARRAS;;;
;;KRIZIK;A1830RLC;2013;10 - 60 A;2x127/220V;400;;FM 12A;;;FRAPIL;TUR DRESDEN;;MORETRAN;;;TAPA PRINCIPAL;;;
;;ITRON;A1D;2012;10 - 100 A;3x58…480V;500;;FM 13A;;;GENERAL ELECTR.;WESTINGHOUSE;;RYMEL;;;;;;
;;LANDIS & GYR;A1R;2011;15 - 100 A;3x100..415V;555,556;;FM 16A;;;HOWEST;;;SIEMENS;;;;;;
;;LEPPER DOMINIT;A1RL;2010;15 - 120 A;3x120/208V;600;;FM 2S;;;ITRÓN;;;UNIAO;;;;;;
;;LINTIN;A1R-AL;2009;30 - CL 100;3X 127/220V;750;;FM 3S;;;JANITZA;;;;;;;;;
;;MASHPRIBORINTORG;A1R+;2008;30 -CL 200;;800;;FM 4S;;;KASUGA (BV);;;;;;;;;
;;PAFAL;A1RQ+;2007;50(150) A;;833,333;;FM 5S;;;PFIFFNER Y CIA;;;;;;;;;
;;STAR;A1RL+;2006;;;1000;;FM 9S;;;RITZ;;;;;;;;;
;;SIEMENS;A1RLQ+;2005;;;1600;;FM 12S;;;RYMEL;;;;;;;;;
;;SCHLUMBERGER;A1RLCQ+;2004;;;1666,667;;FM 16S;;;SA EMIL;;;;;;;;;
;;SCHNEIDER ELECT;A3R;2003;;;2000;;;;;SACI;;;;;;;;;
;;SUNRISE;A3RL;2002;;;2500;;;;;SIEMENS;;;;;;;;;
;;XILI;A3RLQ;2001;;;3200;;;;;WESTINGHOUSE;;;;;;;;;
;;;A3RALNCQ-X;2000;;;5000;;;;;;;;;;;;;;
;;;CEET 153511C;1999;;;;;;;;;;;;;;;;;
;;;CEET 154511C;1998;;;;;;;;;;;;;;;;;
;;;ENERLUX M;1997;;;;;;;;;;;;;;;;;
;;;ENERLUX TD;1996;;;;;;;;;;;;;;;;;
;;;DDS26;1995;;;;;;;;;;;;;;;;;
;;;DDS8888;1994;;;;;;;;;;;;;;;;;
;;;HXE 12;1993;;;;;;;;;;;;;;;;;
;;;HXE 23;1992;;;;;;;;;;;;;;;;;
;;;HXE 34;1991;;;;;;;;;;;;;;;;;
;;;XLE23;1990;;;;;;;;;;;;;;;;;
;;;HLE23;1989;;;;;;;;;;;;;;;;;
;;;HXE 23DL;1988;;;;;;;;;;;;;;;;;
;;;M8C;1987;;;;;;;;;;;;;;;;;
;;;MF-79G;1986;;;;;;;;;;;;;;;;;
;;;MFB-120G;1985;;;;;;;;;;;;;;;;;
;;;MFT-120G;1984;;;;;;;;;;;;;;;;;
;;;SHE23A;1983;;;;;;;;;;;;;;;;;
;;;ST12;1982;;;;;;;;;;;;;;;;;
;;;ST23;1981;;;;;;;;;;;;;;;;;
;;;ST34;1980;;;;;;;;;;;;;;;;;
;;;XLE23;;;;;;;;;;;;;;;;;;
;;;XLE34;;;;;;;;;;;;;;;;;;
